CODE,PRODUCTO,Tiempo,TIPO_CARROCERIA,Edad_Cliente,COMBUSTIBLE,Revisiones,Potencia,TRANS,Mas_1_coche,FORMA_PAGO,km_anno,ESTADO_CIVIL,COSTE_VENTA,GENERO,QUEJA_CAC,Zona_Renta,OcupaciOn,Averia_grave,Campanna3,PROVINCIA,REV_Garantia,Campanna2,Campanna1,Grupo_Edad_Codificado
CLI1,0,0,0,18,0,2,1.0,1,0,0,0,0,2892,2,1,3.0,1,2.0,0,4,0,0,1,0
CLI2,0,0,0,53,0,2,1.0,1,0,0,7187,0,1376,1,0,3.0,1,4.0,0,47,1,0,0,4
CLI3,0,3,0,21,0,4,1.0,1,1,3,0,0,1376,2,0,2.0,1,4.0,0,30,0,0,0,1
CLI4,0,5,0,48,0,4,1.0,1,1,2,7256,0,2015,1,1,2.0,1,2.0,0,32,1,0,1,3
CLI5,0,3,0,21,0,3,1.0,1,1,2,0,0,1818,1,0,0.0,2,4.0,1,41,0,0,1,1
CLI6,0,0,0,56,0,2,1.0,1,0,2,11293,0,2015,1,0,2.0,1,1.0,0,4,1,0,1,4
CLI7,0,0,0,24,0,1,1.0,1,0,2,0,0,2015,2,1,2.0,1,4.0,0,32,0,0,1,1
CLI8,0,0,0,51,0,2,1.0,1,0,2,754,0,1560,2,0,3.0,1,4.0,0,39,1,0,1,4
CLI9,0,5,0,44,0,1,1.0,1,1,0,12177,0,1376,2,0,0.0,1,4.0,0,4,1,0,0,3
CLI10,0,4,0,20,0,1,1.0,1,1,3,0,0,2892,2,0,2.0,1,4.0,0,27,0,0,1,1
CLI11,0,4,0,32,0,1,1.0,1,1,2,0,4,2015,2,0,0.0,1,1.0,0,32,0,0,1,2
CLI12,0,0,0,21,0,1,1.0,1,0,0,0,0,1376,2,1,0.0,1,2.0,0,32,0,0,0,1
CLI13,0,0,0,52,0,1,1.0,1,0,3,7918,0,2892,1,0,0.0,2,1.0,0,8,1,0,1,4
CLI14,0,8,0,55,0,1,1.0,1,1,3,17967,4,2892,2,0,0.0,1,1.0,0,39,1,0,1,4
CLI15,0,7,0,27,0,2,1.0,1,1,0,14527,3,2892,1,0,2.0,1,1.0,0,32,1,0,1,1
